address,baths,beds,carparks,extracted_date,land_area,property_type,sold_date,sold_price,state,suburb,zip
31 Allandale Rd,1,4,3,21-03-2020,638m²,House,21st March 2020,$810k,VIC,Mentone,3194
52 Balcombe Rd,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,$1.345m,UNAVAILABLE,Mentone,UNAVAILABLE
20 Teague Av,2,3,2,21-03-2020,264m²,Townhouse,UNAVAILABLE,$920k,VIC,Mentone,3194
76/80 Balcombe Rd,1,1,1,21-03-2020,UNAVAILABLE,Unit,15th March 2020,$385k,VIC,Mentone,3194
9 Grandview Gr,2,4,−,21-03-2020,"7,011m²",House,28th February 2020,$676k,VIC,Menzies Creek,3159
2 Coppice St,2,4,2,21-03-2020,575m²,House,UNAVAILABLE,$675k,VIC,Mernda,3754
14 Sunridge Dr,2,4,2,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,$561k,VIC,Mernda,3754
12/30b Ducal Pky,1,2,1,21-03-2020,UNAVAILABLE,Unit,20th March 2020,$353k,VIC,Mernda,3754
16 Rowanval Tce,2,3,2,21-03-2020,400m²,House,4th March 2020,$520k,VIC,Mernda,3754
202/40 Rowell Dr,1,2,1,21-03-2020,UNAVAILABLE,Unit,17th March 2020,$293k,VIC,Mernda,3754
2/87 Schotters Rd,2,3,2,21-03-2020,195m²,Townhouse,6th March 2020,$468k,VIC,Mernda,3754
6 Strachan Ri,2,4,2,21-03-2020,646m²,House,14th March 2020,$780k,VIC,Mernda,3754
15 Tangelo Gr,2,5,2,21-03-2020,512m²,House,18th March 2020,$931k,VIC,Mernda,3754
46 Stettler Bvd,2,4,2,21-03-2020,UNAVAILABLE,House,21st March 2020,$523k,VIC,Mickleham,3064
69 Alexo Rd,2,4,2,21-03-2020,434m²,House,20th March 2020,$550k,VIC,Mickleham,3064
34 Meaford St,2,4,2,21-03-2020,UNAVAILABLE,House,16th March 2020,$510k,VIC,Mickleham,3064
65 McGregor St,1,3,−,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,$2m,VIC,Middle Park,3206
61 Hector St,1,5,3,21-03-2020,614m²,House,19th March 2020,$251k,VIC,Mildura,3500
31 Hollywood Bvd,2,3,2,21-03-2020,530m²,House,6th March 2020,$317.5k,VIC,Mildura,3500
47 Buckmaster Dr,3,5,2,21-03-2020,626m²,House,20th March 2020,$780k,VIC,Mill Park,3082
31/292 McKimmies Rd,1,3,2,21-03-2020,UNAVAILABLE,Townhouse,16th March 2020,$450k,VIC,Mill Park,3082
9 Barley Sheaf Dr,2,4,2,21-03-2020,680m²,House,16th March 2020,$477.5k,VIC,Miners Rest,3352
5 Selwyn St,2,3,2,21-03-2020,UNAVAILABLE,House,20th March 2020,$350k,VIC,Miners Rest,3352
33 Denis St,2,3,4,21-03-2020,651m²,House,19th March 2020,$868k,VIC,Mitcham,3132
1 Halls Pde,2,4,2,21-03-2020,699m²,House,13th March 2020,$1.35m,VIC,Mitcham,3132
3 Purches St,1,3,2,21-03-2020,685m²,House,21st March 2020,$901k,VIC,Mitcham,3132
113 Brunswick Rd,1,3,1,21-03-2020,"1,110m²",House,15th March 2020,$1.2m,VIC,Mitcham,3132
1/42 Linlithgow St,2,4,2,21-03-2020,UNAVAILABLE,Townhouse,4th March 2020,$1.25m,VIC,Mitcham,3132
213/435-439 Whitehorse Rd,2,2,1,21-03-2020,UNAVAILABLE,Unit,10th March 2020,$501k,VIC,Mitcham,3132
2A Haigh St,3,4,4,21-03-2020,UNAVAILABLE,House,16th March 2020,$372k,VIC,Moe,3825
36 Churchill St,4,6,4,21-03-2020,"1,396m²",House,UNAVAILABLE,-1,VIC,Mont Albert,3127
3/381 Elgar Rd,1,3,1,21-03-2020,UNAVAILABLE,Townhouse,21st March 2020,$1.25m,VIC,Mont Albert,3127
1/65 Rostrevor Pde,2,3,2,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$1.37m,VIC,Mont Albert North,3129
23 Terrara Ct,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,$981.25k,UNAVAILABLE,Montmorency,UNAVAILABLE
9 Bloom St,2,4,1,21-03-2020,510m²,House,21st March 2020,$1.77m,VIC,Moonee Ponds,3039
36 Tennyson St,1,1,2,21-03-2020,147m²,House,14th March 2020,Price withheld,VIC,Moonee Ponds,3039
3/132 Pascoe Vale Rd,2,2,1,21-03-2020,UNAVAILABLE,Townhouse,20th March 2020,$620k,VIC,Moonee Ponds,3039
6/40 Young St,1,2,1,21-03-2020,UNAVAILABLE,Unit,6th March 2020,$410k,VIC,Moonee Ponds,3039
2 Baker St,2,5,4,21-03-2020,624m²,House,UNAVAILABLE,$1.0175m,VIC,Moorabbin,3189
141 Cardigan Rd,2,3,3,21-03-2020,892m²,House,20th March 2020,$785.5k,VIC,Mooroolbark,3138
5 High Tor ,3,5,6,21-03-2020,"3,862m²",House,16th March 2020,$1.675m,VIC,Mooroolbark,3138
1/14 Macmillan St,1,3,1,21-03-2020,UNAVAILABLE,Unit,17th March 2020,$610k,VIC,Mooroolbark,3138
4/20 Newman Rd,1,2,1,21-03-2020,UNAVAILABLE,Townhouse,4th March 2020,$522.5k,VIC,Mooroolbark,3138
1/29 McDonald St,1,3,2,21-03-2020,319m²,Unit,13th March 2020,$900k,VIC,Mordialloc,3195
2 Aimee Ct,2,4,2,21-03-2020,824m²,House,28th February 2020,$790k,VIC,Mornington,3931
119 Bentons Rd,1,3,1,21-03-2020,585m²,House,18th March 2020,$620k,VIC,Mornington,3931
8 Caversham Dr,2,4,2,21-03-2020,731m²,House,5th March 2020,$875k,VIC,Mornington,3931
30 Kathleen Cr,2,4,2,21-03-2020,"1,079m²",House,10th March 2020,$1.25m,VIC,Mornington,3931
111 Maxwell St,2,3,3,21-03-2020,587m²,House,18th March 2020,$763k,VIC,Mornington,3931
5 Pender Av,2,4,2,21-03-2020,369m²,House,10th March 2020,$1.365m,VIC,Mornington,3931
1 Craigrossie Rd,2,3,2,21-03-2020,"1,663m²",House,UNAVAILABLE,$2.67m,VIC,Mornington,3931
8 Gleneagles Av,2,3,2,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Mornington,3931
14 Warrah St,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,UNAVAILABLE,Mornington,UNAVAILABLE
2/3 York St,1,2,2,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,-1,VIC,Mornington,3931
60 Lakeside Av,1,3,2,21-03-2020,540m²,House,18th March 2020,$270k,VIC,Mount Beauty,3699
20 Acunha St,2,4,2,21-03-2020,"1,018m²",House,11th March 2020,$1.21701m,VIC,Mount Eliza,3930
5 Lois Pl,4,5,4,21-03-2020,"2,385m²",House,19th March 2020,$3.42m,VIC,Mount Eliza,3930
50 Clegg Rd,2,3,4,21-03-2020,UNAVAILABLE,House,19th March 2020,$656.579k,VIC,Mount Evelyn,3796
4 King St,2,6,2,21-03-2020,"3,219m²",House,20th March 2020,$1.03575m,VIC,Mount Macedon,3441
117 Dunns Rd,1,3,1,21-03-2020,658m²,House,11th March 2020,$710k,VIC,Mount Martha,3934
25 Jackson St,2,3,1,21-03-2020,946m²,House,3rd March 2020,$1.03m,VIC,Mount Martha,3934
6A Moonah Wy,2,2,1,21-03-2020,300m²,House,9th March 2020,$600k,VIC,Mount Martha,3934
40 Shanns Av,2,3,2,21-03-2020,337m²,House,3rd March 2020,$852.5k,VIC,Mount Martha,3934
28 Sherwood Cr,3,4,2,21-03-2020,985m²,House,18th March 2020,$1.163m,VIC,Mount Martha,3934
22 Sinclair Ct,3,6,3,21-03-2020,"1,992m²",House,28th February 2020,$2.11m,VIC,Mount Martha,3934
6 Stiles St,2,3,3,21-03-2020,"1,112m²",House,17th March 2020,$1.35m,VIC,Mount Martha,3934
820 Humffray St S,2,3,2,21-03-2020,690m²,House,13th March 2020,$415k,VIC,Mount Pleasant,3350
12a Baily St,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,Price withheld,UNAVAILABLE,Mount Waverley,UNAVAILABLE
1/1 Beal St,1,3,2,21-03-2020,493m²,Townhouse,UNAVAILABLE,-1,VIC,Mount Waverley,3149
1/2 Doorawarrah Ct,3,4,2,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$1.585m max bid,VIC,Mount Waverley,3149
3/10 Dorgan St,2,4,2,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,Price withheld,VIC,Mount Waverley,3149
24 Fairway Av,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,$1.175m,UNAVAILABLE,Mount Waverley,UNAVAILABLE
1/24 Grenfell Rd,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$845k,UNAVAILABLE,Mount Waverley,UNAVAILABLE
1/447 High Street Rd,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,-1,UNAVAILABLE,Mount Waverley,UNAVAILABLE
30 Inverell Av,2,5,2,21-03-2020,960m²,House,UNAVAILABLE,$1.805m,VIC,Mount Waverley,3149
3 Karen Ct,2,3,2,21-03-2020,724m²,House,UNAVAILABLE,$1.06m,VIC,Mount Waverley,3149
20 Kiers Av,2,5,4,21-03-2020,729m²,House,UNAVAILABLE,$1.49m max bid,VIC,Mount Waverley,3149
3/31-33 Malcolm Ct,3,4,2,21-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$1.46m,VIC,Mount Waverley,3149
